,source,target,value
0,France,Italy,10
1,Germany,Italy,31
2,Bulgaria,Germany,11
3,Austria,Germany,11
4,Germany,Spain,1
5,Britain,France,18
6,France,Poland,6
7,Britain,Poland,5
8,France,Germany,31
9,Germany,Poland,28
10,Estonia,Germany,5
11,Estonia,Latvia,12
12,Latvia,Lithuania,6
13,Lithuania,Soviet,6
14,Finland,Soviet,12
15,Germany,Soviet,9
16,Belgium,Poland,5
17,Belgium,Netherlands,6
18,Luxembourg,Netherlands,6
19,Belgium,Luxembourg,4
20,Belgium,Denmark,6
21,Denmark,Norway,12
22,Denmark,Sweden,6
23,Germany,Sweden,6
24,Britain,Germany,12
25,Britain,Greece,5
26,Albania,Greece,12
27,Greece,Soviet,4
28,Soviet,Ukraine,6
29,Belarus,Ukraine,6
30,Belarus,Soviet,5
31,Libya,Soviet,4
32,Egypt,Libya,16
33,Egypt,Iraq,5
34,Germany,Japan,29
35,Britain,Morocco,5
36,Algeria,Morocco,6
37,Algeria,Italy,5
38,Britain,Italy,4
39,America,Britain,6
40,America,France,2
41,Japan,Thailand,6
42,Singapore,Thailand,6
43,Japan,Singapore,5
44,Japan,Philippines,11
45,Japan,Solomon Islands,9
46,India,Japan,11
47,Poland,Soviet,4
48,France,Japan,2
49,France,India,6
50,India,Pakistan,18
51,Israel,Pakistan,6
52,Israel,South Africa,11
53,Israel,Libya,5
54,Iran,Libya,6
55,Germany,Iran,3
56,France,Soviet,5
57,Japan,Soviet,12
58,India,Papua New Guinea,3
59,Pakistan,Philippines,6
60,Laos,Philippines,5
61,Cambodia,Laos,6
62,Cambodia,Kenya,6
63,Ghana,Kenya,6
64,Ghana,Seychelles,6
65,Angola,Seychelles,5
66,Angola,Soviet,3
67,Latvia,Soviet,4
68,Estonia,Lithuania,6
69,Finland,Lithuania,6
70,Finland,Romania,6
71,Albania,Romania,5
72,Albania,Bulgaria,6
73,Bulgaria,Poland,6
74,Poland,Romania,6
75,Hungary,Romania,6
76,Hungary,Soviet,5
77,Mongolia,Soviet,5
78,Cuba,Mongolia,6
79,Cuba,Soviet,22
80,Canada,Soviet,3
81,Australia,Canada,6
82,Australia,Vietnam,4
83,Cambodia,Vietnam,4
84,Cuba,Vietnam,5
85,Greece,Italy,4
86,Italy,Japan,6
87,India,Lebanon,3
88,India,Singapore,5
