,source,target,value
0,France,Italy,10
1,Germany,Italy,31
2,Bulgaria,Germany,11
3,Austria,Germany,11
4,Germany,Spain,1
5,Britain,France,20
6,France,Poland,6
7,Britain,Poland,5
8,France,Germany,31
9,Germany,Poland,28
10,Estonia,Germany,5
11,Estonia,Latvia,12
12,Latvia,Lithuania,6
13,Lithuania,Soviet,6
14,Finland,Soviet,12
15,Germany,Soviet,9
16,Belgium,Poland,5
17,Belgium,Netherlands,6
18,Luxembourg,Netherlands,6
19,Belgium,Luxembourg,4
20,Belgium,Denmark,6
21,Denmark,Norway,12
22,Denmark,Sweden,6
23,Germany,Sweden,6
24,Britain,Germany,12
25,Britain,Greece,5
26,Albania,Greece,12
27,Greece,Soviet,4
28,Soviet,Ukraine,6
29,Belarus,Ukraine,6
30,Belarus,Soviet,5
31,Libya,Soviet,4
32,Egypt,Libya,16
33,Egypt,Iraq,5
34,Germany,Japan,29
35,Britain,Morocco,5
36,Algeria,Morocco,6
37,Algeria,Italy,5
38,Britain,Italy,4
39,Japan,Thailand,6
40,Singapore,Thailand,6
41,Japan,Singapore,5
42,Japan,Philippines,11
43,Japan,Solomon Islands,9
44,India,Japan,11
45,Poland,Soviet,4
46,France,Japan,2
47,France,India,6
48,India,Pakistan,18
49,Israel,Pakistan,6
50,Israel,South Africa,11
51,Israel,Libya,5
52,Iran,Libya,6
53,Germany,Iran,3
54,France,Soviet,5
55,Japan,Soviet,12
56,India,Papua New Guinea,3
57,Pakistan,Philippines,6
58,Laos,Philippines,5
59,Cambodia,Laos,6
60,Cambodia,Kenya,6
61,Ghana,Kenya,6
62,Ghana,Seychelles,6
63,Angola,Seychelles,5
64,Angola,Soviet,3
65,Latvia,Soviet,4
66,Estonia,Lithuania,6
67,Finland,Lithuania,6
68,Finland,Romania,6
69,Albania,Romania,5
70,Albania,Bulgaria,6
71,Bulgaria,Poland,6
72,Poland,Romania,6
73,Hungary,Romania,6
74,Hungary,Soviet,5
75,Mongolia,Soviet,5
76,Cuba,Mongolia,6
77,Cuba,Soviet,22
78,Canada,Soviet,3
79,Australia,Canada,6
80,Australia,Vietnam,4
81,Cambodia,Vietnam,4
82,Cuba,Vietnam,5
83,Greece,Italy,4
84,Italy,Japan,6
85,India,Lebanon,3
86,India,Singapore,5
